Date,Open,High,Low,Close,Volume
2021-09-29 04:00:00,,,,,0
2021-09-29 05:00:00,27.292,27.555,27.292,27.527,248
2021-09-29 06:00:00,27.527,27.397,27.397,27.397,1
2021-09-29 07:00:00,27.397,27.641,27.532,27.641,50
2021-09-29 08:00:00,27.641,27.641,27.641,27.641,0
2021-09-29 09:00:00,27.641,27.641,27.641,27.641,0
2021-09-29 10:00:00,27.641,27.583,27.477,27.512,1705
2021-09-29 11:00:00,27.512,28.367,27.866,28.367,1737
2021-09-29 12:00:00,28.367,28.345,28.141,28.149,146
2021-09-29 13:00:00,28.149,28.311,28.007,28.027,476
2021-09-29 14:00:00,28.027,28.313,27.93,28.313,21033
2021-09-29 15:00:00,28.313,28.313,28.313,28.313,0
2021-09-29 16:00:00,28.313,27.794,27.794,27.794,90
2021-09-29 17:00:00,27.794,27.794,27.794,27.794,0
2021-09-29 18:00:00,27.794,27.342,27.255,27.255,10
2021-09-29 19:00:00,27.255,27.294,27.0,27.288,39
2021-09-29 20:00:00,27.288,27.288,27.288,27.288,0
2021-09-29 21:00:00,27.288,27.288,27.288,27.288,0
2021-09-29 22:00:00,27.288,26.8,26.708,26.8,795
2021-09-29 23:00:00,26.8,26.801,26.8,26.8,24
2021-09-30 00:00:00,26.8,27.158,27.094,27.158,325
2021-09-30 01:00:00,27.158,28.05,27.419,28.05,121
2021-09-30 02:00:00,28.05,28.446,28.153,28.153,3218
2021-09-30 03:00:00,28.153,28.223,28.0,28.0,7541
2021-09-30 04:00:00,28.0,28.14,28.035,28.035,340
2021-09-30 05:00:00,28.035,28.522,28.26,28.26,389
2021-09-30 06:00:00,28.26,28.254,28.013,28.013,358
2021-09-30 07:00:00,28.013,28.363,28.074,28.074,8854
2021-09-30 08:00:00,28.074,28.075,27.849,27.854,1092
2021-09-30 09:00:00,27.854,27.983,27.662,27.782,325
2021-09-30 10:00:00,27.782,28.08,27.841,28.08,738
2021-09-30 11:00:00,28.08,28.172,27.93,27.93,324
2021-09-30 12:00:00,27.93,27.946,27.763,27.866,720
2021-09-30 13:00:00,27.866,28.458,27.958,28.198,745
2021-09-30 14:00:00,28.198,28.119,28.035,28.035,900
2021-09-30 15:00:00,28.035,27.945,27.822,27.822,1054
2021-09-30 16:00:00,27.822,28.276,28.001,28.001,1168
2021-09-30 17:00:00,28.001,27.956,27.956,27.956,18
2021-09-30 18:00:00,27.956,28.198,27.995,28.172,729
2021-09-30 19:00:00,28.172,28.608,28.204,28.557,430
2021-09-30 20:00:00,28.557,28.835,28.476,28.476,1421
2021-09-30 21:00:00,28.476,28.494,28.229,28.277,4289
2021-09-30 22:00:00,28.277,28.388,28.325,28.388,251
2021-09-30 23:00:00,28.388,28.599,28.582,28.597,1878
2021-10-01 00:00:00,28.597,28.597,28.597,28.597,0
2021-10-01 01:00:00,28.597,29.256,28.844,29.06,878
2021-10-01 02:00:00,29.06,29.185,28.95,29.0,1827
2021-10-01 03:00:00,29.0,29.002,28.518,28.518,1307
2021-10-01 04:00:00,28.518,28.891,28.698,28.891,493
2021-10-01 05:00:00,28.891,28.85,28.604,28.677,11391
2021-10-01 06:00:00,28.677,28.895,28.879,28.895,50
2021-10-01 07:00:00,28.895,29.09,28.797,28.957,1720
2021-10-01 08:00:00,28.957,29.446,28.949,29.4,1333
2021-10-01 09:00:00,29.4,29.828,29.521,29.711,2560
2021-10-01 10:00:00,29.711,29.981,29.628,29.808,4544
2021-10-01 11:00:00,29.808,30.813,29.647,30.565,1756
2021-10-01 12:00:00,30.565,30.988,30.59,30.93,1398
2021-10-01 13:00:00,30.93,31.375,30.8,30.8,2411
2021-10-01 14:00:00,30.8,31.104,30.969,30.969,1208
2021-10-01 15:00:00,30.969,30.601,30.452,30.452,781
2021-10-01 16:00:00,30.452,31.42,30.893,31.42,1004
2021-10-01 17:00:00,31.42,31.457,31.306,31.457,432
2021-10-01 18:00:00,31.457,31.901,31.355,31.83,1110
2021-10-01 19:00:00,31.83,31.938,31.726,31.938,1132
2021-10-01 20:00:00,31.938,32.231,31.878,32.23,3085
2021-10-01 21:00:00,32.23,32.184,31.645,32.184,2823
2021-10-01 22:00:00,32.184,32.0,32.0,32.0,500
2021-10-01 23:00:00,32.0,32.326,31.42,31.872,2278
2021-10-02 00:00:00,31.872,32.036,32.036,32.036,7
2021-10-02 01:00:00,32.036,31.766,31.658,31.658,44
2021-10-02 02:00:00,31.658,32.735,32.171,32.22,1410
2021-10-02 03:00:00,32.22,32.666,32.666,32.666,25
2021-10-02 04:00:00,32.666,32.145,32.049,32.064,251
2021-10-02 05:00:00,32.064,31.954,31.735,31.954,227
2021-10-02 06:00:00,31.954,32.132,32.064,32.111,35
2021-10-02 07:00:00,32.111,32.279,32.111,32.191,4
2021-10-02 08:00:00,32.191,32.205,32.137,32.157,570
2021-10-02 09:00:00,32.157,32.058,31.85,32.055,329
2021-10-02 10:00:00,32.055,32.486,32.239,32.239,486
2021-10-02 11:00:00,32.239,32.222,32.04,32.04,149
2021-10-02 12:00:00,32.04,32.211,31.898,32.211,927
2021-10-02 13:00:00,32.211,32.322,32.195,32.224,25
2021-10-02 14:00:00,32.224,32.711,32.186,32.447,177
2021-10-02 15:00:00,32.447,32.984,32.606,32.874,873
2021-10-02 16:00:00,32.874,33.051,32.834,32.892,4973
2021-10-02 17:00:00,32.892,33.341,32.587,33.202,12286
2021-10-02 18:00:00,33.202,32.999,32.965,32.965,771
2021-10-02 19:00:00,32.965,33.203,33.039,33.203,357
2021-10-02 20:00:00,33.203,33.199,33.199,33.199,1
2021-10-02 21:00:00,33.199,33.067,32.775,32.791,3231
2021-10-02 22:00:00,32.791,32.903,32.651,32.651,574
2021-10-02 23:00:00,32.651,32.916,32.792,32.792,214
2021-10-03 00:00:00,32.792,32.767,31.908,32.062,1898
2021-10-03 01:00:00,32.062,32.35,31.383,31.383,3575
2021-10-03 02:00:00,31.383,31.91,31.38,31.85,1855
2021-10-03 03:00:00,31.85,32.109,31.85,32.109,401
2021-10-03 04:00:00,32.109,32.0,31.793,31.969,508
2021-10-03 05:00:00,31.969,32.151,31.975,31.975,90
2021-10-03 06:00:00,31.975,32.307,32.062,32.307,17
2021-10-03 07:00:00,32.307,32.411,32.31,32.31,185
2021-10-03 08:00:00,32.31,32.118,32.094,32.118,131
2021-10-03 09:00:00,32.118,32.09,32.0,32.075,15
2021-10-03 10:00:00,32.075,32.029,31.629,31.841,881
2021-10-03 11:00:00,31.841,32.027,31.938,31.989,22
2021-10-03 12:00:00,31.989,32.196,31.967,32.196,1374
2021-10-03 13:00:00,32.196,32.147,31.913,31.915,943
2021-10-03 14:00:00,31.915,32.64,32.177,32.64,585
2021-10-03 15:00:00,32.64,32.7,32.278,32.311,252
2021-10-03 16:00:00,32.311,32.24,31.968,31.97,621
2021-10-03 17:00:00,31.97,32.187,31.904,32.062,1233
2021-10-03 18:00:00,32.062,32.409,31.591,32.341,784
